model,test_accuracy,test_precision,test_recall,test_f1
MLP,0.9117647058823529,0.9230769230769231,0.8571428571428571,0.888888888888889
SVM,0.8235294117647058,0.7222222222222222,0.9285714285714286,0.8125000000000001
