model_name,test_accuracy,test_precision,test_recall,test_f1
dense5_dense5_dense5,0.47058823529411764,0.43333333333333335,0.9285714285714286,0.5909090909090909
dense5_dense5_dense10,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense5_dense5_dense15,0.7058823529411765,0.6428571428571429,0.6428571428571429,0.6428571428571429
dense5_dense5_dense20,0.5,0.44,0.7857142857142857,0.5641025641025641
dense5_dense10_dense5,0.5882352941176471,0.5,0.8571428571428571,0.631578947368421
dense5_dense10_dense10,0.6764705882352942,0.5882352941176471,0.7142857142857143,0.6451612903225806
dense5_dense10_dense15,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense5_dense10_dense20,0.7058823529411765,0.5909090909090909,0.9285714285714286,0.7222222222222223
dense5_dense15_dense5,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense5_dense15_dense10,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense5_dense15_dense15,0.5882352941176471,0.5,0.6428571428571429,0.5625000000000001
dense5_dense15_dense20,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense5_dense20_dense5,0.47058823529411764,0.4375,1.0,0.6086956521739131
dense5_dense20_dense10,0.5882352941176471,0.5,0.8571428571428571,0.631578947368421
dense5_dense20_dense15,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense5_dense20_dense20,0.5882352941176471,0.5,0.7142857142857143,0.588235294117647
dense10_dense5_dense5,0.6470588235294118,0.55,0.7857142857142857,0.6470588235294117
dense10_dense5_dense10,0.6764705882352942,0.5882352941176471,0.7142857142857143,0.6451612903225806
dense10_dense5_dense15,0.9117647058823529,0.9230769230769231,0.8571428571428571,0.888888888888889
dense10_dense5_dense20,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense10_dense10_dense5,0.7647058823529411,0.75,0.6428571428571429,0.6923076923076924
dense10_dense10_dense10,0.7352941176470589,0.631578947368421,0.8571428571428571,0.7272727272727273
dense10_dense10_dense15,0.8235294117647058,0.7222222222222222,0.9285714285714286,0.8125000000000001
dense10_dense10_dense20,0.5882352941176471,0.5,0.8571428571428571,0.631578947368421
dense10_dense15_dense5,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.6153846153846153
dense10_dense15_dense10,0.6176470588235294,0.5294117647058824,0.6428571428571429,0.5806451612903226
dense10_dense15_dense15,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense10_dense15_dense20,0.7941176470588235,0.7692307692307693,0.7142857142857143,0.7407407407407408
dense10_dense20_dense5,0.6470588235294118,0.5454545454545454,0.8571428571428571,0.6666666666666665
dense10_dense20_dense10,0.7941176470588235,0.6842105263157895,0.9285714285714286,0.7878787878787878
dense10_dense20_dense15,0.7941176470588235,0.7058823529411765,0.8571428571428571,0.7741935483870968
dense10_dense20_dense20,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense15_dense5_dense5,0.6470588235294118,0.5384615384615384,1.0,0.7000000000000001
dense15_dense5_dense10,0.8235294117647058,0.7857142857142857,0.7857142857142857,0.7857142857142857
dense15_dense5_dense15,0.7058823529411765,0.6428571428571429,0.6428571428571429,0.6428571428571429
dense15_dense5_dense20,0.6470588235294118,0.5555555555555556,0.7142857142857143,0.6250000000000001
dense15_dense10_dense5,0.7941176470588235,0.7692307692307693,0.7142857142857143,0.7407407407407408
dense15_dense10_dense10,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense15_dense10_dense15,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense15_dense10_dense20,0.7941176470588235,0.7058823529411765,0.8571428571428571,0.7741935483870968
