,kernel,test_accuracy,test_precision,test_recall,test_f1
0,linear,0.7058823529411765,0.6111111111111112,0.7857142857142857,0.6875000000000001
1,poly,0.5294117647058824,0.46153846153846156,0.8571428571428571,0.6
2,rbf,0.8235294117647058,0.7222222222222222,0.9285714285714286,0.8125000000000001
