model_name,test_accuracy,test_precision,test_recall,test_f1
dense5_dense5_dense5,0.5588235294117647,0.47368421052631576,0.6428571428571429,0.5454545454545454
dense5_dense5_dense10,0.7058823529411765,0.6428571428571429,0.6428571428571429,0.6428571428571429
dense5_dense5_dense15,0.5882352941176471,0.5,0.7142857142857143,0.588235294117647
dense5_dense5_dense20,0.6176470588235294,0.5294117647058824,0.6428571428571429,0.5806451612903226
dense5_dense5_dense25,0.4117647058823529,0.4117647058823529,1.0,0.5833333333333334
dense5_dense10_dense5,0.5882352941176471,0.5,0.9285714285714286,0.65
dense5_dense10_dense10,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense5_dense10_dense15,0.6176470588235294,0.52,0.9285714285714286,0.6666666666666666
dense5_dense10_dense20,0.7941176470588235,0.6842105263157895,0.9285714285714286,0.7878787878787878
dense5_dense10_dense25,0.7647058823529411,0.75,0.6428571428571429,0.6923076923076924
dense5_dense15_dense5,0.4117647058823529,0.4,0.8571428571428571,0.5454545454545455
dense5_dense15_dense10,0.7352941176470589,0.631578947368421,0.8571428571428571,0.7272727272727273
dense5_dense15_dense15,0.6470588235294118,0.5454545454545454,0.8571428571428571,0.6666666666666665
dense5_dense15_dense20,0.5882352941176471,0.5,0.7142857142857143,0.588235294117647
dense5_dense15_dense25,0.7941176470588235,0.7692307692307693,0.7142857142857143,0.7407407407407408
dense5_dense20_dense5,0.5588235294117647,0.47619047619047616,0.7142857142857143,0.5714285714285714
dense5_dense20_dense10,0.5588235294117647,0.47619047619047616,0.7142857142857143,0.5714285714285714
dense5_dense20_dense15,0.7647058823529411,0.75,0.6428571428571429,0.6923076923076924
dense5_dense20_dense20,0.7647058823529411,0.7142857142857143,0.7142857142857143,0.7142857142857143
dense5_dense20_dense25,0.7058823529411765,0.6111111111111112,0.7857142857142857,0.6875000000000001
dense5_dense25_dense5,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense5_dense25_dense10,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense5_dense25_dense15,0.6470588235294118,0.55,0.7857142857142857,0.6470588235294117
dense5_dense25_dense20,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense5_dense25_dense25,0.6764705882352942,0.6,0.6428571428571429,0.6206896551724138
dense10_dense5_dense5,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense10_dense5_dense10,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense10_dense5_dense15,0.5882352941176471,0.5,0.7142857142857143,0.588235294117647
dense10_dense5_dense20,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense10_dense5_dense25,0.6764705882352942,0.5882352941176471,0.7142857142857143,0.6451612903225806
dense10_dense10_dense5,0.6470588235294118,0.5416666666666666,0.9285714285714286,0.6842105263157894
dense10_dense10_dense10,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense10_dense10_dense15,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense10_dense10_dense20,0.7941176470588235,0.7058823529411765,0.8571428571428571,0.7741935483870968
dense10_dense10_dense25,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense10_dense15_dense5,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense10_dense15_dense10,0.5588235294117647,0.47368421052631576,0.6428571428571429,0.5454545454545454
dense10_dense15_dense15,0.6470588235294118,0.5625,0.6428571428571429,0.6000000000000001
dense10_dense15_dense20,0.7941176470588235,0.7333333333333333,0.7857142857142857,0.7586206896551724
dense10_dense15_dense25,0.6764705882352942,0.5714285714285714,0.8571428571428571,0.6857142857142857
dense10_dense20_dense5,0.8529411764705882,0.9090909090909091,0.7142857142857143,0.8
dense10_dense20_dense10,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense10_dense20_dense15,0.7058823529411765,0.6428571428571429,0.6428571428571429,0.6428571428571429
dense10_dense20_dense20,0.7941176470588235,0.7692307692307693,0.7142857142857143,0.7407407407407408
dense10_dense20_dense25,0.7647058823529411,0.65,0.9285714285714286,0.7647058823529412
dense10_dense25_dense5,0.7058823529411765,0.625,0.7142857142857143,0.6666666666666666
dense10_dense25_dense10,0.6176470588235294,0.5217391304347826,0.8571428571428571,0.6486486486486486
dense10_dense25_dense15,0.7352941176470589,0.631578947368421,0.8571428571428571,0.7272727272727273
dense10_dense25_dense20,0.8235294117647058,0.75,0.8571428571428571,0.7999999999999999
dense10_dense25_dense25,0.7352941176470589,0.6666666666666666,0.7142857142857143,0.689655172413793
dense15_dense5_dense5,0.7352941176470589,0.7272727272727273,0.5714285714285714,0.64
dense15_dense5_dense10,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense15_dense5_dense15,0.6176470588235294,0.52,0.9285714285714286,0.6666666666666666
dense15_dense5_dense20,0.7941176470588235,0.7058823529411765,0.8571428571428571,0.7741935483870968
