model_name,test_accuracy,test_precision,test_recall,test_f1
dense10_dense15_dense20,0.7058823529411765,0.6111111111111112,0.7857142857142857,0.6875000000000001
dense10_dense20_dense5,0.6764705882352942,0.5714285714285714,0.8571428571428571,0.6857142857142857
dense10_dense20_dense10,0.7058823529411765,0.625,0.7142857142857143,0.6666666666666666
dense10_dense20_dense15,0.7058823529411765,0.6,0.8571428571428571,0.7058823529411764
dense10_dense20_dense20,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense15_dense5_dense5,0.5882352941176471,0.5,0.35714285714285715,0.41666666666666663
dense15_dense5_dense10,0.5294117647058824,0.4583333333333333,0.7857142857142857,0.5789473684210527
dense15_dense5_dense15,0.5294117647058824,0.4666666666666667,1.0,0.6363636363636364
dense15_dense5_dense20,0.5588235294117647,0.48148148148148145,0.9285714285714286,0.6341463414634146
dense15_dense10_dense5,0.6764705882352942,0.56,1.0,0.717948717948718
dense15_dense10_dense10,0.7058823529411765,0.6,0.8571428571428571,0.7058823529411764
dense15_dense10_dense15,0.6470588235294118,0.5714285714285714,0.5714285714285714,0.5714285714285714
dense15_dense10_dense20,0.7058823529411765,0.625,0.7142857142857143,0.6666666666666666
dense15_dense15_dense5,0.6176470588235294,0.5333333333333333,0.5714285714285714,0.5517241379310344
dense15_dense15_dense10,0.7647058823529411,0.65,0.9285714285714286,0.7647058823529412
dense15_dense15_dense15,0.7352941176470589,0.6470588235294118,0.7857142857142857,0.7096774193548386
dense15_dense15_dense20,0.5588235294117647,0.47619047619047616,0.7142857142857143,0.5714285714285714
dense15_dense20_dense5,0.6764705882352942,0.5652173913043478,0.9285714285714286,0.7027027027027025
dense15_dense20_dense10,0.6764705882352942,0.5789473684210527,0.7857142857142857,0.6666666666666667
dense15_dense20_dense15,0.6176470588235294,0.5238095238095238,0.7857142857142857,0.6285714285714286
dense15_dense20_dense20,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
dense20_dense5_dense5,0.7647058823529411,0.65,0.9285714285714286,0.7647058823529412
dense20_dense5_dense10,0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571
dense20_dense5_dense15,0.5294117647058824,0.45454545454545453,0.7142857142857143,0.5555555555555556
dense20_dense5_dense20,0.8235294117647058,0.75,0.8571428571428571,0.7999999999999999
dense20_dense10_dense5,0.6764705882352942,0.5652173913043478,0.9285714285714286,0.7027027027027025
dense20_dense10_dense10,0.6764705882352942,0.5652173913043478,0.9285714285714286,0.7027027027027025
dense20_dense10_dense15,0.7647058823529411,0.6875,0.7857142857142857,0.7333333333333334
dense20_dense10_dense20,0.7058823529411765,0.625,0.7142857142857143,0.6666666666666666
dense20_dense15_dense5,0.7941176470588235,0.7058823529411765,0.8571428571428571,0.7741935483870968
dense20_dense15_dense10,0.8529411764705882,0.7647058823529411,0.9285714285714286,0.8387096774193549
dense20_dense15_dense15,0.7647058823529411,0.7142857142857143,0.7142857142857143,0.7142857142857143
dense20_dense15_dense20,0.7352941176470589,0.6923076923076923,0.6428571428571429,0.6666666666666666
dense20_dense20_dense5,0.6470588235294118,0.5416666666666666,0.9285714285714286,0.6842105263157894
dense20_dense20_dense10,0.6764705882352942,0.5714285714285714,0.8571428571428571,0.6857142857142857
dense20_dense20_dense15,0.7647058823529411,0.65,0.9285714285714286,0.7647058823529412
dense20_dense20_dense20,0.7352941176470589,0.6086956521739131,1.0,0.7567567567567568
